genes	hgnc_synonyms	hgnc_genes	phenotype	phenotypeInheritance	geneMimNumber	phenotypeMimNumber	chromosome	comments
CD36|CHDS7|BDPLT10	CD36|NA|NA	CD36	Malaria, cerebral, susceptibility to	None	173510	611162	7	NA
SEMA3C	SEMA3C	SEMA3C	NA	NA	602645	NA	7	NA
HGF|DFNB39	HGF,IL6,SOS1|HGF	HGF,IL6,SOS1	Deafness, autosomal recessive 39	Autosomal recessive	142409	608265	7	NA
CACNA2|CACNL2A	CACNA2D1|CACNA2D1	CACNA2D1	NA	NA	114204	NA	7	NA
PCLO|PCH3	PCLO|CLAM	CLAM,PCLO	?Pontocerebellar hypoplasia, type 3	Autosomal recessive	604918	608027	7	mutation identified in 1 PCHD3 family
SEMA3E|SEMAH|KIAA0331	SEMA3E|SEMA3E|SEMA3E	SEMA3E	?CHARGE syndrome	Autosomal dominant	608166	214800	7	mutation identified in 1 CHARGE patient
SEMA3A|SEMAD|COLL1|HH16	SEMA3A|SEMA3A|NA|NA	SEMA3A	Hypogonadotropic hypogonadism 16 with or without anosmia	Autosomal dominant	603961	614897	7	NA
SEMA3D	SEMA3D	SEMA3D	NA	NA	609907	NA	7	NA
GRM3	GRM3	GRM3	NA	NA	601115	NA	7	NA
KIAA1324L|EIG121L	KIAA1324L|KIAA1324L	KIAA1324L	NA	NA	614048	NA	7	NA
DMTF1|DMP1	DMTF1|DMP1,DMTF1	DMP1,DMTF1	NA	NA	608491	NA	7	NA
TP53TG1	TP53TG1	TP53TG1	NA	NA	616403	NA	7	NA
CROT|COT	CROT|CROT,MAP3K8	CROT,MAP3K8	NA	NA	606090	NA	7	NA
ABCB4|PGY3|MDR3|ICP3	ABCB4|ABCB4|ABCB4|NA	ABCB4	Cholestasis, intrahepatic, of pregnancy, 3	Autosomal dominant; Autosomal recessive	171060	614972	7	within 500kb of MDR1
ABCB4|PGY3|MDR3|ICP3	ABCB4|ABCB4|ABCB4|NA	ABCB4	Gallbladder disease 1	Autosomal dominant; Autosomal recessive	171060	600803	7	within 500kb of MDR1
ABCB4|PGY3|MDR3|ICP3	ABCB4|ABCB4|ABCB4|NA	ABCB4	Cholestasis, progressive familial intrahepatic 3	Autosomal recessive	171060	602347	7	within 500kb of MDR1
ABCB1|PGY1|MDR1|IBD13|CLCs	ABCB1|ABCB1|ABCB1,TBC1D9|NA|NA	TBC1D9,ABCB1	Inflammatory bowel disease 13	None	171050	612244	7	NA
ABCB1|PGY1|MDR1|IBD13|CLCs	ABCB1|ABCB1|ABCB1,TBC1D9|NA|NA	TBC1D9,ABCB1	Colchicine resistance	None	171050	120080	7	NA
SLC25A40	SLC25A40	SLC25A40	NA	NA	610821	NA	7	NA
ASK|DBF4	DBF4|DBF4	DBF4	NA	NA	604281	NA	7	NA
ADAM22	ADAM22	ADAM22	NA	NA	603709	NA	7	NA
SRI|SCN	SRI|NA	SRI	NA	NA	182520	NA	7	NA
STEAP4|STAMP2|TIARP	STEAP4|STEAP4|STEAP4	STEAP4	NA	NA	611098	NA	7	NA
STEAP	STEAP1	STEAP1	NA	NA	604415	NA	7	NA
STEAP2|STAMP1|IPCA1|PCANAP1	STEAP2|STEAP2|NA|STEAP2	STEAP2	NA	NA	605094	NA	7	NA
GTPBP10|OBGH2	GTPBP10|NA	GTPBP10	NA	NA	610920	NA	7	NA
CLKDN12	NA	NA	NA	NA	611232	NA	7	NA
CDK14|PFTK1|PFTAIRE1|KIAA0834	CDK14|CDK14|CDK14|NA	CDK14	NA	NA	610679	NA	7	NA
FZD1	FZD1	FZD1	NA	NA	603408	NA	7	NA
SHFM1|SHFD1|SHSF1	SHFM1|SHFM1|SHFM1	SHFM1	Split hand/foot malformation 1	Autosomal dominant	183600	183600	7	contiguous gene deletion syndrome
MTERF	MTERF1	MTERF1	NA	NA	602318	NA	7	NA
AKAP9|YOTIAO|AKAP450	AKAP9|AKAP9|AKAP9	AKAP9	?Long QT syndrome-11	None	604001	611820	7	mutation identified in 1 LQT11 family
CYP51A1|CYP51	CYP51A1|CYP51A1	CYP51A1	NA	NA	601637	NA	7	NA
CCM1|CAM|KRIT1	KRIT1|KRIT1|KRIT1	KRIT1	Cerebral cavernous malformations-1	Autosomal dominant	604214	116860	7	NA
CCM1|CAM|KRIT1	KRIT1|KRIT1|KRIT1	KRIT1	Cavernous malformations of CNS and retina	Autosomal dominant	604214	116860	7	NA
CCM1|CAM|KRIT1	KRIT1|KRIT1|KRIT1	KRIT1	Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations	Autosomal dominant	604214	116860	7	NA
GATAD1|ODAG|CMD2B	GATAD1|GATAD1|NA	GATAD1	?Cardiomyopathy, dilated, 2B	Autosomal recessive	614518	614672	7	mutation identified in 1 GATAD1 family
ERVWE1|HERVW	ERVW-1|ERVW-1	ERVW-1	NA	NA	604659	NA	7	NA
PEX1|ZWS1|PBD1A|PBD1B|HMLR1	PEX1|PEX1|NA|NA|NA	PEX1	Peroxisome biogenesis disorder 1B (NALD/IRD)	None	602136	601539	7	NA
PEX1|ZWS1|PBD1A|PBD1B|HMLR1	PEX1|PEX1|NA|NA|NA	PEX1	Peroxisome biogenesis disorder 1A (Zellweger)	Autosomal recessive	602136	214100	7	NA
PEX1|ZWS1|PBD1A|PBD1B|HMLR1	PEX1|PEX1|NA|NA|NA	PEX1	Heimler syndrome 1	Autosomal recessive	602136	234580	7	NA
CDK6|PLSTIRE|MCPH12	CDK6|CDK6|NA	CDK6	?Microcephaly 12, primary, autosomal recessive	Autosomal recessive	603368	616080	7	mutation identified in 1 MCPH12 family
SAMD9|NFTC	SAMD9|NA	SAMD9	Tumoral calcinosis, familial, normophosphatemic	Autosomal recessive	610456	610455	7	NA
SAMD9L	SAMD9L	SAMD9L	NA	NA	611170	NA	7	NA
HEPACAM2|MIKI	HEPACAM2|NA	HEPACAM2	NA	NA	614133	NA	7	NA
VPS50|CCDC132|KIAA1861	NA|CCDC132|CCDC132	CCDC132	NA	NA	616465	NA	7	NA
CALCR|CRT	CALCR|CALR	CALCR,CALR	Osteoporosis, postmenopausal, susceptibility	Autosomal dominant	114131	166710	7	not deleted in Williams syndrome
MIR489	MIR489	MIR489	NA	NA	614523	NA	7	in intron 4 of CALCR
TFPI2	TFPI2	TFPI2	NA	NA	600033	NA	7	NA
GNGT1	GNGT1	GNGT1	NA	NA	189970	NA	7	NA
GNG11	GNG11	GNG11	NA	NA	604390	NA	7	NA
BET1	BET1	BET1	NA	NA	605456	NA	7	NA
COL1A2	COL1A2	COL1A2	Ehlers-Danlos syndrome, type VIIB	Autosomal dominant	120160	130060	7	~17cM from CF
COL1A2	COL1A2	COL1A2	Ehlers-Danlos syndrome, cardiac valvular form	Autosomal recessive	120160	225320	7	~17cM from CF
COL1A2	COL1A2	COL1A2	Osteoporosis, postmenopausal	Autosomal dominant	120160	166710	7	~17cM from CF
COL1A2	COL1A2	COL1A2	Osteogenesis imperfecta, type IV	Autosomal dominant	120160	166220	7	~17cM from CF
COL1A2	COL1A2	COL1A2	Osteogenesis imperfecta, type III	Autosomal dominant	120160	259420	7	~17cM from CF
COL1A2	COL1A2	COL1A2	Osteogenesis imperfecta, type II	Autosomal dominant	120160	166210	7	~17cM from CF
CASD1|C7orf12	CASD1|CASD1	CASD1	NA	NA	611686	NA	7	NA
SGCE|DYT11	SGCE|SGCE	SGCE	Dystonia-11, myoclonic	Autosomal dominant	604149	159900	7	pseudogene on 2q21; maternally imprinted
PEG10|KIAA1051	PEG10|PEG10	PEG10	NA	NA	609810	NA	7	NA
PPP1R9A|NRBI|NRB1|KIAA1222	PPP1R9A|NA|NA|PPP1R9A	PPP1R9A	NA	NA	602468	NA	7	NA
PON1|PON|ESA|MVCD5	PON1|PON1|EPCAM,FLOT2,PON1|NA	EPCAM,PON1,FLOT2	Coronary artery spasm 2, susceptibility to	None	168820	NA	7	NA
PON1|PON|ESA|MVCD5	PON1|PON1|EPCAM,FLOT2,PON1|NA	EPCAM,PON1,FLOT2	Coronary artery disease, susceptibility to	None	168820	NA	7	NA
PON1|PON|ESA|MVCD5	PON1|PON1|EPCAM,FLOT2,PON1|NA	EPCAM,PON1,FLOT2	Organophosphate poisoning, sensitivity to	None	168820	NA	7	NA
PON1|PON|ESA|MVCD5	PON1|PON1|EPCAM,FLOT2,PON1|NA	EPCAM,PON1,FLOT2	Microvascular complications of diabetes 5	None	168820	612633	7	NA
PON3	PON3	PON3	NA	NA	602720	NA	7	NA
PON2	PON2	PON2	Coronary artery disease, susceptibility to	None	602447	NA	7	NA
ASB4	ASB4	ASB4	NA	NA	605761	NA	7	NA
PDK4	PDK4	PDK4	NA	NA	602527	NA	7	NA
DNCI1	DYNC1I1	DYNC1I1	NA	NA	603772	NA	7	NA
SLC25A13|CTLN2	SLC25A13|SLC25A13	SLC25A13	Citrullinemia, type II, neonatal-onset	Autosomal recessive	603859	605814	7	NA
SLC25A13|CTLN2	SLC25A13|SLC25A13	SLC25A13	Citrullinemia, adult-onset type II	Autosomal recessive	603859	603471	7	NA
DSS1	SHFM1	SHFM1	NA	NA	601285	NA	7	?gene mutant in SHFM1
DLX6	DLX6	DLX6	NA	NA	600030	NA	7	NA
DLX5|SHFM1D	DLX5|NA	DLX5	?Split-hand/foot malformation 1 with sensorineural hearing loss	Autosomal recessive	600028	220600	7	mutation identified in 1 family
ACN9	ACN9	ACN9	NA	NA	615773	NA	7	NA
TAC1|TAC2|NKNA	TAC1|TAC1|TAC1	TAC1	NA	NA	162320	NA	7	NA
ASNS|ASNSD	ASNS|NA	ASNS	Asparagine synthetase deficiency	Autosomal recessive	108370	615574	7	temperature sensitive G1 mutant
LMTK2|KPI2|BREK|KIAA1079	LMTK2|LMTK2|LMTK2|LMTK2	LMTK2	NA	NA	610989	NA	7	NA
TECPR1|KIAA1358	TECPR1|TECPR1	TECPR1	NA	NA	614781	NA	7	NA
BRI3	BRI3,ITM2C	BRI3,ITM2C	NA	NA	615628	NA	7	NA
BAIAP2L1|IRTKS	BAIAP2L1|BAIAP2L1	BAIAP2L1	NA	NA	611877	NA	7	NA
AUTS1	AUTS1	AUTS1	Autism susceptibility 1	Multifactorial; Isolated cases	209850	209850	7	NA
G7P1	NA	NA	NA	NA	148750	NA	7	NA
GAEC1	NA	NA	NA	NA	612130	NA	7	NA
IBD11	NA	NA	Inflammatory bowel disease 11	Multifactorial	191390	191390	7	associated with MUC3A
MUC3B	MUC3B	MUC3B	NA	NA	605633	NA	7	NA
MYH16	MYH16	MYH16	NA	NA	608580	NA	7	inactivated in humans; expressed in masticatory muscles in nonhuman primates
NM|NCR	NM|NA	NM	?Neutrophil chemotactic response, abnormal	Autosomal dominant	162820	162820	7	NA
PAPA4	NA	NA	Polydactyly, postaxial, type A4	None	608562	608562	7	highest lod with D7S1799
SCA18|SMNA	SCA18|SCA18	SCA18	Spinocerebellar ataxia 18	Autosomal dominant	607458	607458	7	between D7S2418 and D7S1804
NPTX2	NPTX2	NPTX2	NA	NA	600750	NA	7	NA
TRRAP	TRRAP	TRRAP	NA	NA	603015	NA	7	NA
SMURF1	SMURF1	SMURF1	NA	NA	605568	NA	7	NA
KPNA7	KPNA6,KPNA7	KPNA7,KPNA6	NA	NA	614107	NA	7	NA
ARPC1A|SOP2L	ARPC1A|ARPC1A	ARPC1A	NA	NA	604220	NA	7	NA
ARPC1B|ARC41	ARPC1B|ARPC1B	ARPC1B	NA	NA	604223	NA	7	NA
PDAP1|PAP1|PAP	PDAP1|PDAP1,REG3A|ASAP1,ASAP2,MRPS30,PAPOLA,PDAP1,REG3A,TUSC2	PDAP1,TUSC2,MRPS30,ASAP1,PAPOLA,ASAP2,REG3A	NA	NA	607075	NA	7	NA
BUD31|G10	BUD31|BUD31,ZBTB12	BUD31,ZBTB12	NA	NA	603477	NA	7	NA
PTCD1|KIAA0632	PTCD1|PTCD1	PTCD1	NA	NA	614774	NA	7	NA
CPSF4|CPSF30|NEB1	CPSF4|CPSF4|NA	CPSF4	NA	NA	603052	NA	7	NA
ZKSCAN5|ZFP95|KIAA1015	ZKSCAN5|ZKSCAN5|NA	ZKSCAN5	NA	NA	611272	NA	7	NA
CYP3A5|P450PCN3	CYP3A5|CYP3A5	CYP3A5	Hypertension, salt-sensitive essential, susceptibility to	Multifactorial	605325	145500	7	NA
CYP3A7	CYP3A7	CYP3A7	NA	NA	605340	NA	7	NA
CYP3A4	CYP3A4	CYP3A4	NA	NA	124010	NA	7	NA
CYP3A43	CYP3A43	CYP3A43	NA	NA	606534	NA	7	NA
GJC3|CX30.2|CX31.3	GJC3|GJC3|NA	GJC3	NA	NA	611925	NA	7	NA
AZGP1|ZAG	AZGP1|AZGP1	AZGP1	NA	NA	194460	NA	7	NA
ZNF36|KOX18	ZKSCAN1|ZKSCAN1	ZKSCAN1	NA	NA	601260	NA	7	NA
ZNF38|KOX25	ZSCAN21|ZNF3	ZSCAN21,ZNF3	NA	NA	601261	NA	7	NA
ZNF3	ZNF3	ZNF3	NA	NA	194510	NA	7	?relation to ZNF4, ZNF5; previous assignment to Chr.5
COPS6|CSN6	COPS6|COPS6	COPS6	NA	NA	614729	NA	7	NA
MCM7|MCM2	MCM7|MCM2,MCM7	MCM7,MCM2	NA	NA	600592	NA	7	NA
MIR25|MIRN25	MIR25|MIR25	MIR25	NA	NA	612150	NA	7	NA
MIR93|MIRN9	MIR93|NA	MIR93	NA	NA	612984	NA	7	NA
MIR106B|MIRN106B	MIR106B|MIR106B	MIR106B	NA	NA	612983	NA	7	NA
AP4M1|SPG50|CPSQ3	AP4M1|AP4M1|NA	AP4M1	Spastic paraplegia 50, autosomal recessive	Autosomal recessive	602296	612936	7	NA
TAF6|TAF2E|TAFII80	TAF6|TAF6|TAF6	TAF6	NA	NA	602955	NA	7	NA
CNPY4|PRAT4B|MGC40499	CNPY4|CNPY4|CNPY4	CNPY4	NA	NA	610047	NA	7	NA
GAL3ST4	GAL3ST4	GAL3ST4	NA	NA	608235	NA	7	NA
STAG3|POF8	STAG3|NA	STAG3	?Premature ovarian failure 8	Autosomal recessive	608489	615723	7	mutation identified in 1 POF8 family
PMS2P1|PMS2L1|PMS3	PMS2P1|PMS2P1|PMS2P1	PMS2P1	NA	NA	605038	NA	7	NA
PILRB	PILRB	PILRB	NA	NA	605342	NA	7	NA
PILRA	PILRA	PILRA	NA	NA	605341	NA	7	NA
MEPCE|BCDIN3	MEPCE|MEPCE	MEPCE	NA	NA	611478	NA	7	NA
TSC22D4|THG1	TSC22D4|RHOXF2	TSC22D4,RHOXF2	NA	NA	611914	NA	7	NA
NYPA1	NA	NA	NA	NA	615477	NA	7	NA
AGFG2|HRBL|RABR	AGFG2|AGFG2|AGFG2	AGFG2	NA	NA	604019	NA	7	NA
FBXO24|FBX24	FBXO24|FBXO24	FBXO24	NA	NA	609097	NA	7	NA
PCOLCE	PCOLCE	PCOLCE	NA	NA	600270	NA	7	NA
TFR2|HFE3	TFR2|TFR2	TFR2	Hemochromatosis, type 3	None	604720	604250	7	NA
ACTL6B|BAF53B	ACTL6B|ACTL6B	ACTL6B	NA	NA	612458	NA	7	NA
GNB2	GNB2	GNB2	NA	NA	139390	NA	7	30-70kb from EPO
GIGYF1	GIGYF1	GIGYF1	NA	NA	612064	NA	7	NA
POP7|RPP20	POP7|POP7	POP7	NA	NA	606113	NA	7	NA
EPO|MVCD2	EPO,EPX,TIMP1|NA	EPO,TIMP1,EPX	Microvascular complications of diabetes 2	None	133170	612623	7	close to COL1A2; no recombination
ZAN	ZAN	ZAN	NA	NA	602372	NA	7	NA
EPHB4|HTK|MYK1	EPHB4|EPHB4|NA	EPHB4	NA	NA	600011	NA	7	NA
TRIP6|OIP1	TRIP6|TRIP6	TRIP6	NA	NA	602933	NA	7	NA
SRRT|ARS2	SRRT|SRRT	SRRT	NA	NA	614469	NA	7	NA
UFSP1	UFSP1	UFSP1	NA	NA	611481	NA	7	NA
ACHE|YT	ACHE|ACHE	ACHE	Blood group, Yt system	None	100740	112100	7	blood group YT (112100) = epitope of ACHE
MUC3A	MUC3A	MUC3A	NA	NA	158371	NA	7	NA
MUC12|MUC11	MUC12|MUC12	MUC12	NA	NA	604609	NA	7	NA
MUC17	MUC17	MUC17	NA	NA	608424	NA	7	NA
PAI1|PLANH1|SERPINE1	SERPINE1|SERPINE1|SERPINE1	SERPINE1	Plasminogen activator inhibitor-1 deficiency	Autosomal dominant; Autosomal recessive	173360	613329	7	NA
PAI1|PLANH1|SERPINE1	SERPINE1|SERPINE1|SERPINE1	SERPINE1	Transcription of plasminogen activator inhibitor, modulator of	None	173360	NA	7	NA
AP1S1|CLAPS1|AP19|MEDNIK	AP1S1|AP1S1|AP1S1|NA	AP1S1	MEDNIK syndrome	Autosomal recessive	603531	609313	7	NA
VGF	VGF	VGF	NA	NA	602186	NA	7	NA
NAT16	NAT16	NAT16	NA	NA	615783	NA	7	NA
MOGAT3|MGAT3	MOGAT3|MGAT3,MOGAT3	MGAT3,MOGAT3	NA	NA	610184	NA	7	NA
PLOD3|LH3	PLOD3|PLOD3	PLOD3	Lysyl hydroxylase 3 deficiency	Autosomal recessive	603066	612394	7	previously assigned to 7q36
CLDN15	CLDN15	CLDN15	NA	NA	615778	NA	7	NA
TTC11|FIS1	FIS1|FIS1	FIS1	NA	NA	609003	NA	7	NA
SH2B1|SH2B|KIAA1299	SH2B1|SH2B1|NA	SH2B1	NA	NA	608927	NA	7	NA
CUTL1|CDP	CUX1|CUX1	CUX1	NA	NA	116896	NA	7	NA
APS	KLK3,SH2B2	KLK3,SH2B2	NA	NA	605300	NA	7	NA
ORAI2|MEM142B|C7orf19	ORAI2|NA|ORAI2	ORAI2	NA	NA	610929	NA	7	NA
ALKBH4|ABH4	ALKBH4|NA	ALKBH4	NA	NA	613302	NA	7	NA
LRWD1|ORCA	LRWD1|LRWD1	LRWD1	NA	NA	615167	NA	7	NA
POLR2J	POLR2J	POLR2J	NA	NA	604150	NA	7	NA
RASA4|CAPRI|GAPL|KIAA0538	RASA4|RASA4|RASA4|RASA4	RASA4	NA	NA	607943	NA	7	NA
POLR2J2|RPB11	POLR2J2|POLR2J	POLR2J2,POLR2J	NA	NA	609881	NA	7	NA
EBXL13|FBL13	NA|NA	NA	NA	NA	609080	NA	7	NA
NFE4	NFE4	NFE4	NA	NA	612133	NA	7	NA
ARMC10|SVH	ARMC10|ARMC10	ARMC10	NA	NA	611864	NA	7	NA
NAPEPLD	NAPEPLD	NAPEPLD	NA	NA	612334	NA	7	NA
MPPB	PMPCB	PMPCB	NA	NA	603131	NA	7	NA
DNAJC2|ZRF1|MPP11	DNAJC2|DNAJC2|DNAJC2	DNAJC2	NA	NA	605502	NA	7	NA
PSMC2|MSS1|S7	PSMC2|GTPBP3,PSMC2|PSMC2,RPS7,S7	RPS7,PSMC2,S7,GTPBP3	NA	NA	154365	NA	7	NA
SLC26A5|PRES|DFNB61	SLC26A5|SLC26A5|SLC26A5	SLC26A5	?Deafness, autosomal recessive 61	Autosomal recessive	604943	613865	7	mutation identified in 1 DFNB61 family
RELN|RL|LIS2|ETL7	RELN|RELN|PAFAH1B1P1|NA	RELN,PAFAH1B1P1	Epilepsy, familial temporal lobe, 7	Autosomal dominant	600514	616436	7	NA
RELN|RL|LIS2|ETL7	RELN|RELN|PAFAH1B1P1|NA	RELN,PAFAH1B1P1	Lissencephaly 2 (Norman-Roberts type)	Autosomal recessive	600514	257320	7	NA
ORC5|ORC5L	ORC5|ORC5	ORC5	NA	NA	602331	NA	7	NA
LHFPL3	LHFPL3	LHFPL3	NA	NA	609719	NA	7	NA
CMD1Q	CMD1Q	CMD1Q	Cardiomyopathy, dilated, 1Q	None	609915	609915	7	between D7S2545 and D7S2554
MPVQTL6	NA	NA	Mean platelet volume QTL6	None	614646	614646	7	associated with rs342293
KMT2E|MLL5	KMT2E|KMT2E	KMT2E	NA	NA	608444	NA	7	NA
PUS7|KIAA1897	PUS7|NA	PUS7	NA	NA	616261	NA	7	NA
RINT1	RINT1	RINT1	NA	NA	610089	NA	7	NA
CDHR3	CDHR3	CDHR3	NA	NA	615610	NA	7	NA
SYPL1|SYPL	SYPL1|SYPL1	SYPL1	NA	NA	616665	NA	7	NA
NAMPT|PBEF1|VF|PBEF	NAMPT|NAMPT|NA|NAMPT	NAMPT	NA	NA	608764	NA	7	NA
PIK3CG	PIK3CG	PIK3CG	NA	NA	601232	NA	7	NA
PRKAR2B	PRKAR2B	PRKAR2B	NA	NA	176912	NA	7	NA
HBP1	HBP1	HBP1	NA	NA	616714	NA	7	NA
COG5|GOLTC1|GTC90|CDG2I	COG5|COG5|COG5|NA	COG5	Congenital disorder of glycosylation, type IIi	None	606821	613612	7	NA
GPR22	GPR22	GPR22	NA	NA	601910	NA	7	NA
SLC26A4|PDS|DFNB4|EVA|TDH2B	SLC26A4|SLC26A4|SLC26A4|MPZL2|NA	MPZL2,SLC26A4	Pendred syndrome	Autosomal recessive	605646	274600	7	some patients have digenic mutations with FOXI1
SLC26A4|PDS|DFNB4|EVA|TDH2B	SLC26A4|SLC26A4|SLC26A4|MPZL2|NA	MPZL2,SLC26A4	Deafness, autosomal recessive 4, with enlarged vestibular aqueduct	Autosomal recessive	605646	600791	7	some patients have digenic mutations with FOXI1
CBLL1|HAKAI|RNF188	CBLL1|CBLL1|CBLL1	CBLL1	NA	NA	606872	NA	7	NA
SLC26A3|DRA|CLD	SLC26A3|SLC26A3|SLC26A3	SLC26A3	Diarrhea 1, secretory chloride, congenital	Autosomal recessive	126650	214700	7	5' and close to PDS
AUTS9	NA	NA	Autism, susceptibility to, 9	None	611015	611015	7	max lod near D7S530
DFNB14	DFNB14	DFNB14	Deafness, autosomal recessive 14	Autosomal recessive	603678	603678	7	?same as DFNB17
DFNB17	DFNB17	DFNB17	Deafness, autosomal recessive 17	Autosomal recessive	603010	603010	7	NA
DLD|LAD|PHE3|DLDD	DLD|DLD|NA|NA	DLD	Dihydrolipoamide dehydrogenase deficiency	Autosomal recessive	238331	246900	7	NA
LAMB1|LIS5	LAMB1|NA	LAMB1	Lissencephaly 5	Autosomal recessive	150240	615191	7	NA
LAMB4	LAMB4	LAMB4	NA	NA	616380	NA	7	NA
NRCAM	NRCAM	NRCAM	NA	NA	601581	NA	7	NA
PNPLA8|MMLA	PNPLA8|NA	PNPLA8	?Mitochondrial myopathy with lactic acidosis	Autosomal recessive	612123	251950	7	mutation identified in 1 MMLA family
THAP5	THAP5	THAP5	NA	NA	612534	NA	7	NA
DNAJB9|MDG1	DNAJB9|DNAJB9	DNAJB9	NA	NA	602634	NA	7	previously assigned to chr.14 by FISH
IMMP2L|IMP2	IMMP2L|IMMP2L,SPPL3	SPPL3,IMMP2L	NA	NA	605977	NA	7	NA
DOCK4|KIAA0716	DOCK4|DOCK4	DOCK4	NA	NA	607679	NA	7	NA
ZNF277	ZNF277	ZNF277	NA	NA	605465	NA	7	NA
IFRD1	IFRD1	IFRD1	NA	NA	603502	NA	7	NA
GPR85|SREB2	GPR85|GPR85	GPR85	NA	NA	605188	NA	7	NA
PPP1R3A|PPP1R3	PPP1R3A|PPP1R3A	PPP1R3A	Insulin resistance, severe, digenic	Autosomal dominant	600917	604367	7	NA
FOXP2|SPCH1|TNRC10|CAGH44	FOXP2|FOXP2|FOXP2|FOXP2	FOXP2	Speech-language disorder-1	Autosomal dominant	605317	602081	7	NA
MDFIC|HIC	MDFIC|MDFIC	MDFIC	NA	NA	614511	NA	7	NA
TFEC|TFECL	TFEC|TFEC	TFEC	NA	NA	604732	NA	7	NA
TES	TES	TES	NA	NA	606085	NA	7	NA
CAV2	CAV2	CAV2	NA	NA	601048	NA	7	NA
CAV1|BSCL3|CGL3|PPH3|LCCNS	CAV1|NA|NA|NA|NA	CAV1	Pulmonary hypertension, primary, 3	Autosomal dominant	601047	615343	7	mutation identified in 1 CGL3 family; mutation identified in 1 LCCNS family
CAV1|BSCL3|CGL3|PPH3|LCCNS	CAV1|NA|NA|NA|NA	CAV1	?Partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome	Autosomal dominant	601047	606721	7	mutation identified in 1 CGL3 family; mutation identified in 1 LCCNS family
CAV1|BSCL3|CGL3|PPH3|LCCNS	CAV1|NA|NA|NA|NA	CAV1	?Lipodystrophy, congenital generalized, type 3	None	601047	612526	7	mutation identified in 1 CGL3 family; mutation identified in 1 LCCNS family
MET	MET	MET	Renal cell carcinoma, papillary, 1, familial and somatic	None	164860	605074	7	mutation identified in 1 DFNB97 family
MET	MET	MET	Hepatocellular carcinoma, childhood type, somatic	None	164860	114550	7	mutation identified in 1 DFNB97 family
MET	MET	MET	?Deafness, autosomal recessive 97	Autosomal recessive	164860	616705	7	mutation identified in 1 DFNB97 family
CAPZA2|CAPPA2	CAPZA2|CAPZA2	CAPZA2	NA	NA	601571	NA	7	NA
ST7|TSG7|RAY1|FAM4A1	LRP12,ST7|ST7|ST7|ST7	LRP12,ST7	NA	NA	600833	NA	7	NA
WNT2|INT1L1	WNT2|WNT2	WNT2	NA	NA	147870	NA	7	isolated by CMGT with MET
ASZ1|ALP1|ANKL1|GASZ	ASZ1|ASRGL1,ASZ1|ASZ1|ASZ1	ASRGL1,ASZ1	NA	NA	605797	NA	7	NA
CFTR|ABCC7|CF|MRP7	CFTR|CFTR|CFTR|ABCC10,CFTR	CFTR,ABCC10	Hypertrypsinemia, neonatal	None	602421	NA	7	distal and 5' to MET
CFTR|ABCC7|CF|MRP7	CFTR|CFTR|CFTR|ABCC10,CFTR	CFTR,ABCC10	Bronchiectasis with or without elevated sweat chloride 1, modifier of	Autosomal dominant	602421	211400	7	distal and 5' to MET
CFTR|ABCC7|CF|MRP7	CFTR|CFTR|CFTR|ABCC10,CFTR	CFTR,ABCC10	Sweat chloride elevation without CF	None	602421	NA	7	distal and 5' to MET
CFTR|ABCC7|CF|MRP7	CFTR|CFTR|CFTR|ABCC10,CFTR	CFTR,ABCC10	Cystic fibrosis	Autosomal recessive	602421	219700	7	distal and 5' to MET
CFTR|ABCC7|CF|MRP7	CFTR|CFTR|CFTR|ABCC10,CFTR	CFTR,ABCC10	Congenital bilateral absence of vas deferens	Autosomal recessive	602421	277180	7	distal and 5' to MET
CFTR|ABCC7|CF|MRP7	CFTR|CFTR|CFTR|ABCC10,CFTR	CFTR,ABCC10	Pancreatitis, idiopathic	Autosomal dominant	602421	167800	7	distal and 5' to MET
STQTL2	NA	NA	Stature QTL 2	None	606256	606256	7	max lod at D7S195
CTTNBP2|CORTBP2|KIAA1758	CTTNBP2|CTTNBP2|CTTNBP2	CTTNBP2	NA	NA	609772	NA	7	NA
LSM8	LSM8	LSM8	NA	NA	607288	NA	7	NA
ANKRD7	ANKRD7	ANKRD7	NA	NA	610731	NA	7	NA
KCND2|KIAA1044	KCND2|KCND2	KCND2	NA	NA	605410	NA	7	NA
TSPAN12|NET2|EVR5	TSPAN12|SRSF11|NA	TSPAN12,SRSF11	Exudative vitreoretinopathy 5	Autosomal dominant	613138	613310	7	NA
ING3|P47ING3	ING3|NA	ING3	NA	NA	607493	NA	7	NA
WNT16	WNT16	WNT16	NA	NA	606267	NA	7	NA
FAM3C	FAM3C	FAM3C	NA	NA	608618	NA	7	NA
PTPRZ1|PTP18	PTPRZ1|PTPRZ1	PTPRZ1	H. pylori infection, susceptibility to	None	176891	600263	7	NA
AASS	AASS	AASS	Hyperlysinemia	Autosomal recessive	605113	238700	7	NA
AASS	AASS	AASS	Saccharopinuria	Autosomal recessive	605113	268700	7	NA
FEZF1|FEZ|ZNF312B|HH22	FEZF1|NA|FEZF1|NA	FEZF1	Hypogonadotropic hypogonadism 22, with or without anosmia	Autosomal recessive	613301	616030	7	NA
CADPS2|KIAA1591	CADPS2|NA	CADPS2	NA	NA	609978	NA	7	NA
