phenotype	phenotypeInheritance	phenotypeMimNumber	chromosome	gene	geneMimNumber	comments
NA	NA	NA	11	ARHG	179505	NA
Myopathy, tubular aggregate, 1	Autosomal dominant	160565	11	STIM1,TAM1,IMD10,STRMK	605921	NA
Immunodeficiency 10	Autosomal recessive	612783	11	STIM1,TAM1,IMD10,STRMK	605921	NA
Stormorken syndrome	Autosomal dominant	185070	11	STIM1,TAM1,IMD10,STRMK	605921	NA
NA	NA	NA	11	RRM1	180410	NA
NA	NA	NA	11	TRIM21,SSA1,RO52	109092	NA
NA	NA	NA	11	TRIM68,SS56,GC109	613184	incorrectly assigned to 2p24 by FISH
NA	NA	NA	11	OR51E1,DGPCR,PSGR2	611267	NA
NA	NA	NA	11	OR51E2,PSGR	611268	NA
NA	NA	NA	11	MMP26	605470	NA
Heinz body anemias, beta-	Autosomal dominant	140700	11	HBB	141900	pseudogene HBBP1 between HBG and HBD loci
Thalassemias, beta-	None	613985	11	HBB	141900	pseudogene HBBP1 between HBG and HBD loci
Erythremias, beta-	None	NA	11	HBB	141900	pseudogene HBBP1 between HBG and HBD loci
Thalassemia-beta, dominant inclusion-body	None	603902	11	HBB	141900	pseudogene HBBP1 between HBG and HBD loci
Delta-beta thalassemia	Autosomal dominant	141749	11	HBB	141900	pseudogene HBBP1 between HBG and HBD loci
Sickle cell anemia	None	603903	11	HBB	141900	pseudogene HBBP1 between HBG and HBD loci
Methemoglobinemias, beta-	None	NA	11	HBB	141900	pseudogene HBBP1 between HBG and HBD loci
Hereditary persistence of fetal hemoglobin	Autosomal dominant	141749	11	HBB	141900	pseudogene HBBP1 between HBG and HBD loci
Malaria, resistance to	None	611162	11	HBB	141900	pseudogene HBBP1 between HBG and HBD loci
Thalassemia, delta-	None	NA	11	HBD	142000	NA
Thalassemia due to Hb Lepore	None	NA	11	HBD	142000	NA
NA	NA	NA	11	BGLT3,LINC01083	616308	NA
Fetal hemoglobin quantitative trait locus 1	Autosomal dominant	141749	11	HBG1	142200	NA
Fetal hemoglobin quantitative trait locus 1	Autosomal dominant	141749	11	HBG2,TNCY	142250	NA
Cyanosis, transient neonatal	Autosomal dominant	613977	11	HBG2,TNCY	142250	NA
NA	NA	NA	11	HBE1	142100	NA
Thalassemia, Hispanic gamma-delta-beta	None	613985	11	LCRB	152424	NA
NA	NA	NA	11	UBQLN3	605473	NA
NA	NA	NA	11	TRIM5,RNF88	608487	NA
NA	NA	NA	11	TRIM6	607564	NA
NA	NA	NA	11	TRIM34,RNF21,IFP1	605684	NA
NA	NA	NA	11	TRIM22,STAF50	606559	NA
NA	NA	NA	11	CCKBR,GASR	118445	NA
Niemann-Pick disease, type B	Autosomal recessive	607616	11	SMPD1,NPD	607608	NA
Niemann-Pick disease, type A	Autosomal recessive	257200	11	SMPD1,NPD	607608	NA
NA	NA	NA	11	APBB1,FE65	602709	NA
NA	NA	NA	11	HPX	142290	NA
NA	NA	NA	11	TRIM3,RNF22,BERP	605493	NA
NA	NA	NA	11	ARFIP2,POR1	601638	NA
NA	NA	NA	11	FXC1,TIMM10B	607388	NA
NA	NA	NA	11	RRP8,NML,KIAA0409	615818	NA
NA	NA	NA	11	ILK,P59	602366	NA
NA	NA	NA	11	TAF10,TAF2H,TAF2A	600475	NA
Spinocerebellar ataxia, autosomal recessive 7	Autosomal recessive	609270	11	TPP1,CLN2,SCAR7	607998	NA
Ceroid lipofuscinosis, neuronal, 2	Autosomal recessive	204500	11	TPP1,CLN2,SCAR7	607998	NA
Van Maldergem syndrome 1	Autosomal recessive	601390	11	DCHS1,PCDH16,FIB1,CDH19,VMLDS1,MVP2	603057	NA
Mitral valve prolapse 2	Autosomal dominant	607829	11	DCHS1,PCDH16,FIB1,CDH19,VMLDS1,MVP2	603057	NA
NA	NA	NA	11	MRPL17	611830	NA
NA	NA	NA	11	OR6A2,OR6A1	608495	NA
NA	NA	NA	11	OR10A1	608493	NA
NA	NA	NA	11	OR2D2	608494	NA
NA	NA	NA	11	ZNF215	605016	NA
NA	NA	NA	11	ZNF214	605015	NA
NA	NA	NA	11	NLRP1,NALP14,NOD5	609665	NA
NA	NA	NA	11	RBMXL2,HNRNPGT,HNRPGT	605444	NA
NA	NA	NA	11	SYT9	613528	NA
NA	NA	NA	11	CYB5R2	608342	NA
NA	NA	NA	11	NLRP10,NALP10,PYNOD,NOD8	609662	NA
NA	NA	NA	11	EIF3F,EIF3S5	603914	NA
?Retinal dystrophy and obesity	Autosomal recessive	616188	11	TUB,RDOB	601197	mutation identified in 1 RDOB family
NA	NA	NA	11	RIC3	610509	NA
Leukemia, T-cell acute lymphoblastic	None	186921	11	LMO1,RBTN1,RHOM1	186921	NA
NA	NA	NA	11	STK33	607670	NA
NA	NA	NA	11	TRIM66,TIF1D,KIAA0298	612000	NA
NA	NA	NA	11	RPL27A	603637	NA
NA	NA	NA	11	ST5,HTS1	140750	NA
NA	NA	NA	11	AKIP1,BCA3,C11orf17	609191	NA
NA	NA	NA	11	NRIP3	613125	NA
NA	NA	NA	11	SCUBE2	611747	NA
NA	NA	NA	11	IPO7,RANBP7	605586	NA
NA	NA	NA	11	ZNF143,SBF	603433	NA
NA	NA	NA	11	WEE1	193525	NA
NA	NA	NA	11	SWAP70	604762	NA
Charcot-Marie-Tooth disease, type 4B2	Autosomal recessive	604563	11	SBF2,MTMR13,CMT4B2	607697	NA
NA	NA	NA	11	ADM	103275	NA
AMP deaminase deficiency, erythrocytic	None	612874	11	AMPD3	102772	NA
NA	NA	NA	11	RNF141,ZNF230	616641	NA
NA	NA	NA	11	LYVE1	605702	NA
NA	NA	NA	11	MRVI1,IRAG	604673	NA
NA	NA	NA	11	SH2BP1,KIAA0155,p150	609366	NA
NA	NA	NA	11	EIF4G2,DAP5	602325	NA
NA	NA	NA	11	ZBED5,BUSTER1	615251	NA
NA	NA	NA	11	GALNT18,GALNACT18,GALNTL4	615136	NA
NA	NA	NA	11	USP47	614460	NA
NA	NA	NA	11	DKK3,RIG	605416	NA
NA	NA	NA	11	MICAL2,KIAA0750	608881	NA
NA	NA	NA	11	MICALCL,EBITEIN1	612355	NA
NA	NA	NA	11	PARVA	608120	NA
Sveinsson choreoretinal atrophy	Autosomal dominant	108985	11	TEAD1,TCF13,REF1	189967	NA
NA	NA	NA	11	RASSF10	614713	NA
NA	NA	NA	11	ARNTL,BMAL1,TIC	602550	NA
NA	NA	NA	11	BTBD10	615933	NA
Hypoparathyroidism, autosomal recessive	Autosomal dominant	146200	11	PTH	168450	~9cM distal to CALC1; distal to MYOD
Hypoparathyroidism, autosomal dominant	Autosomal dominant	146200	11	PTH	168450	~9cM distal to CALC1; distal to MYOD
Peroxisomal fatty acyl-CoA reductase 1 disorder	Autosomal recessive	616154	11	FAR1,MLSTD2,PFCRD	616107	NA
NA	NA	NA	11	SPON1	604989	NA
Ovarian carcinoma	None	NA	11	RRAS2,TC21	600098	NA
NA	NA	NA	11	COPB1,COPB	600959	NA
NA	NA	NA	11	PSMA1,PROS30	602854	NA
NA	NA	NA	11	PDE3B	602047	NA
Rickets due to defect in vitamin D 25-hydroxylation	Autosomal recessive	600081	11	CYP2R1	608713	NA
NA	NA	NA	11	CALCA,CALC1	114130	same 220kb fragment as CALCB
NA	NA	NA	11	CALCB,CALC2	114160	NA
NA	NA	NA	11	INSC	610668	NA
NA	NA	NA	11	SOX6	607257	NA
NA	NA	NA	11	PLEKHA7	612686	NA
NA	NA	NA	11	RPS13	180476	NA
NA	NA	NA	11	PIK3C2A,CPK	603601	NA
NA	NA	NA	11	NUCB2,NEFA	608020	NA
NA	NA	NA	11	B7H6	613714	NA
Hyperinsulinemic hypoglycemia, familial, 2	Autosomal recessive	601820	11	KCNJ11,BIR,PHHI,HHF2,TNDM3,MODY13	600937	4.5kb 3' of SUR
Diabetes, permanent neonatal	Autosomal dominant	606176	11	KCNJ11,BIR,PHHI,HHF2,TNDM3,MODY13	600937	4.5kb 3' of SUR
Diabetes mellitus, transient neonatal, 3	None	610582	11	KCNJ11,BIR,PHHI,HHF2,TNDM3,MODY13	600937	4.5kb 3' of SUR
Diabetes mellitus, permanent neonatal, with neurologic features	Autosomal dominant	606176	11	KCNJ11,BIR,PHHI,HHF2,TNDM3,MODY13	600937	4.5kb 3' of SUR
Diabetes mellitus, type 2, susceptibility to	Autosomal dominant	125853	11	KCNJ11,BIR,PHHI,HHF2,TNDM3,MODY13	600937	4.5kb 3' of SUR
Maturity-onset diabetes of the young, type 13	Autosomal dominant	616329	11	KCNJ11,BIR,PHHI,HHF2,TNDM3,MODY13	600937	4.5kb 3' of SUR
Diabetes mellitus, transient neonatal 2	None	610374	11	ABCC8,SUR,PHHI,SUR1,HHF1,TNDM2	600509	NA
Diabetes mellitus, permanent neonatal	Autosomal dominant	606176	11	ABCC8,SUR,PHHI,SUR1,HHF1,TNDM2	600509	NA
Diabetes mellitus, noninsulin-dependent	Autosomal dominant	125853	11	ABCC8,SUR,PHHI,SUR1,HHF1,TNDM2	600509	NA
Hypoglycemia of infancy, leucine-sensitive	Autosomal dominant	240800	11	ABCC8,SUR,PHHI,SUR1,HHF1,TNDM2	600509	NA
Hyperinsulinemic hypoglycemia, familial, 1	Autosomal recessive; Autosomal dominant	256450	11	ABCC8,SUR,PHHI,SUR1,HHF1,TNDM2	600509	NA
Usher syndrome, type 1C	Autosomal recessive	276904	11	USH1C,DFNB18A	605242	Acadian and Samaritan variety
Deafness, autosomal recessive 18A	Autosomal recessive	602092	11	USH1C,DFNB18A	605242	Acadian and Samaritan variety
Deafness, autosomal recessive 18B	Autosomal recessive	614945	11	OTOG,OTGN,DFNB18B	604487	NA
NA	NA	NA	11	MYOD1,MYF3	159970	proximal to CALCA, HBB, BWS, PTH; ?11p14.3
Epilepsy, progressive myoclonic 7	Autosomal dominant	616187	11	KCNC1,EPM7	176258	NA
NA	NA	NA	11	SERGEF,DELGEF	606051	NA
NA	NA	NA	11	TPH1,TPH	191060	NA
NA	NA	NA	11	MRGPRX3,MRGX3	607229	NA
NA	NA	NA	11	MRGPRX4,MRGX4	607230	NA
NA	NA	NA	11	SAA4	104752	NA
NA	NA	NA	11	SAA2	104751	pseudogene = SAA3
NA	NA	NA	11	SAA1	104750	NA
Hermansky-Pudlak syndrome 5	None	614074	11	HPS5,RU2,KIAA1017	607521	NA
NA	NA	NA	11	GTF2H1	189972	within 50kb of LDHA
Glycogen storage disease XI	Autosomal recessive	612933	11	LDHA,LDH1,GSD11	150000	NA
NA	NA	NA	11	LDHC,LDH3	150150	closely linked to LDHB in other species; in man syntenic with LDHA; ?close to LDHA
Breast cancer, somatic	None	114480	11	TSG101	601387	NA
NA	NA	NA	11	UEVLD,UEV3,ATTP	610985	NA
NA	NA	NA	11	PTPN5,STEP	176879	NA
NA	NA	NA	11	MRGPRX1,MRGX1	607227	NA
NA	NA	NA	11	MRGPRX2,MRGX2	607228	NA
NA	NA	NA	11	ZDHHC13,HIP14L	612815	NA
Cardiomyopathy, hypertrophic, 12	Autosomal dominant	612124	11	CSRP3,CRP3,CLP,CMD1M,CMH12	600824	mutation identified in 1 CMD1M family
?Cardiomyopathy, dilated, 1M	None	607482	11	CSRP3,CRP3,CLP,CMD1M,CMH12	600824	mutation identified in 1 CMD1M family
NA	NA	NA	11	E2F8	612047	NA
NA	NA	NA	11	NAV2,RAINB1,KIAA1419	607026	NA
NA	NA	NA	11	HTATIP2,TIP30,CC3	605628	NA
Hyperekplexia 3	Autosomal recessive; Autosomal dominant	614618	11	SLC6A5,GLYT2,HKPX3	604159	NA
NA	NA	NA	11	NELL1	602319	NA
NA	NA	NA	11	ST2	185440	NA
Tuberculin skin test reactivity, absence of	None	613636	11	TST1	613636	at chr11:26.37M
Muscular dystrophy, limb-girdle, type 2L	Autosomal recessive	611307	11	ANO5,TMEM16E,GDD1,LGMD2L	608662	NA
Miyoshi muscular dystrophy 3	Autosomal recessive	613319	11	ANO5,TMEM16E,GDD1,LGMD2L	608662	NA
Gnathodiaphyseal dysplasia	Autosomal dominant	166260	11	ANO5,TMEM16E,GDD1,LGMD2L	608662	NA
NA	NA	NA	11	SLC17A6,VGLUT2,DNPI	607563	NA
Fanconi anemia, complementation group F	None	603467	11	FANCF	613897	NA
NA	NA	NA	11	GAS2	602835	NA
NA	NA	NA	11	LUZP2	608178	NA
Dystonia 24	Autosomal dominant	615034	11	ANO3,TMEM16C,C11orf25,DYT24	610110	NA
Deafness, autosomal dominant 59	Autosomal dominant	612642	11	DFNA59	612642	between D22S929 and D11S480
NA	NA	NA	11	SLC5A12,SMCT2	612455	NA
NA	NA	NA	11	BBOX1,BBOX	603312	NA
?Spastic paraplegia 41, autosomal dominant	Autosomal dominant	613364	11	SPG41	613364	max lod 2.36; between D11S1324 and D11S1993
NA	NA	NA	11	CCDC34	612324	NA
Bone mineral density, low, susceptibility to	None	615311	11	LGR4,GPR48,BNMD17	606666	previously mapped to 5q34-q35.1
NA	NA	NA	11	LIN7C,VELI3,MALS3	612332	NA
NA	NA	NA	11	BDNFAS,BDNFOS	611468	NA
Anorexia nervosa, susceptibility to	None	610269	11	BDNF,BULN2,ANON2	113505	homeology with NRF3 on 12p; at p14 boundary
Central hypoventilation syndrome, congenital	Autosomal dominant	209880	11	BDNF,BULN2,ANON2	113505	homeology with NRF3 on 12p; at p14 boundary
Obsessive-compulsive disorder, protection against	Autosomal dominant	164230	11	BDNF,BULN2,ANON2	113505	homeology with NRF3 on 12p; at p14 boundary
Memory impairment, susceptibility to	None	NA	11	BDNF,BULN2,ANON2	113505	homeology with NRF3 on 12p; at p14 boundary
Bulimia nervosa, age of onset of weight loss in	Multifactorial	607499	11	BDNF,BULN2,ANON2	113505	homeology with NRF3 on 12p; at p14 boundary
NA	NA	NA	11	HSP90AA2,HSPCAL3	140575	NA
NA	NA	NA	11	KIF18A	611271	NA
NA	NA	NA	11	MIR610,MIRN610	612330	NA
NA	NA	NA	11	KCNA4,KCNA8	176266	other map to 11p
Hypogonadotropic hypogonadism 24 without anosmia	Autosomal recessive	229070	11	FSHB,HH24	136530	distal to AN2
NA	NA	NA	11	C11orf46	612295	NA
NA	NA	NA	11	MPPED2,C11orf8,D11S302E,239FB	600911	NA
NA	NA	NA	11	DCDC5,KIAA1493	612321	NA
Candidiasis, familial, 3	Autosomal dominant	607644	11	CANDF3,CANDN1,FCNC	607644	between D11S1312 and D11S4191
Wilms tumor, aniridia, genitourinary anomalies and mental retardation syndrome	Autosomal dominant; Somatic mutation	194072	11	DEL11p13,C11DELp13,WAGR	194072	deletion of WT1 and PAX6 genes
Deafness, autosomal recessive 51	Autosomal recessive	609941	11	DFNB51	609941	max lod at D11S4102
Centrotemporal epilepsy	Isolated cases	117100	11	ECT,BECTS	117100	previously assigned to 15q14
Exudative vitreoretinopathy 3	Autosomal dominant	605750	11	EVR3	605750	NA
Mental retardation, autosomal recessive 23	None	614344	11	MRT23	614344	between rs604518 and rs10899421
Myopia 7	Multifactorial	609256	11	MYP7	609256	NA
WAGRO syndrome	None	612469	11	WAGRO,DEL11p14p12	612469	contiguous gene deletion syndrome
NA	NA	NA	11	DCDC1	608062	NA
NA	NA	NA	11	DPH4	611072	NA
NA	NA	NA	11	IMMP1L,IMP1	612323	NA
?Aniridia	Autosomal dominant	106210	11	ELP4,PAX6NEB,AN	606985	mutation identified in 1 AN patients
Optic nerve hypoplasia	Autosomal dominant	165550	11	PAX6,AN2,MGDA,FVH1	607108	mutation identified in 1 MGDA patient
Cataract with late-onset corneal dystrophy	Autosomal dominant	106210	11	PAX6,AN2,MGDA,FVH1	607108	mutation identified in 1 MGDA patient
Keratitis	Autosomal dominant	148190	11	PAX6,AN2,MGDA,FVH1	607108	mutation identified in 1 MGDA patient
Aniridia	Autosomal dominant	106210	11	PAX6,AN2,MGDA,FVH1	607108	mutation identified in 1 MGDA patient
Gillespie syndrome	Autosomal recessive	206700	11	PAX6,AN2,MGDA,FVH1	607108	mutation identified in 1 MGDA patient
?Morning glory disc anomaly	Autosomal dominant	120430	11	PAX6,AN2,MGDA,FVH1	607108	mutation identified in 1 MGDA patient
Foveal hypoplasia 1	Autosomal dominant	136520	11	PAX6,AN2,MGDA,FVH1	607108	mutation identified in 1 MGDA patient
Coloboma, ocular	Autosomal dominant	120200	11	PAX6,AN2,MGDA,FVH1	607108	mutation identified in 1 MGDA patient
Peters anomaly	None	604229	11	PAX6,AN2,MGDA,FVH1	607108	mutation identified in 1 MGDA patient
Coloboma of optic nerve	Autosomal dominant	120430	11	PAX6,AN2,MGDA,FVH1	607108	mutation identified in 1 MGDA patient
NA	NA	NA	11	RCN1	602735	NA
Mesothelioma, somatic	None	156240	11	WT1,NPHS4	607102	clumped: pter-FSHB-AN2-WT1-CAT
Meacham syndrome	None	608978	11	WT1,NPHS4	607102	clumped: pter-FSHB-AN2-WT1-CAT
Frasier syndrome	Autosomal dominant; Somatic mutation	136680	11	WT1,NPHS4	607102	clumped: pter-FSHB-AN2-WT1-CAT
Denys-Drash syndrome	Autosomal dominant; Somatic mutation	194080	11	WT1,NPHS4	607102	clumped: pter-FSHB-AN2-WT1-CAT
Wilms tumor, type 1	Autosomal dominant; Somatic mutation	194070	11	WT1,NPHS4	607102	clumped: pter-FSHB-AN2-WT1-CAT
Nephrotic syndrome, type 4	Autosomal recessive	256370	11	WT1,NPHS4	607102	clumped: pter-FSHB-AN2-WT1-CAT
NA	NA	NA	11	EIF3M,PCID1,B5,GA17	609641	NA
NA	NA	NA	11	CCDC73	612328	NA
NA	NA	NA	11	PRRG4,PRGP4,TMG4	611690	NA
NA	NA	NA	11	DEPDC7,TR2	612294	NA
NA	NA	NA	11	LOC283267	612296	NA
NA	NA	NA	11	CSTF3	600367	NA
NA	NA	NA	11	HIPK3,PKY,DYRK6	604424	NA
NA	NA	NA	11	C11orf41,G2	612297	NA
Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy	Autosomal recessive	612300	11	CD59,MIC11	107271	in mouse Ly-6 = multigene complex
NA	NA	NA	11	FBXO3,FBX3,FBA	609089	NA
Leukemia, acute T-cell	None	180385	11	LMO2,RBTNL1,RHOM2,TTG2	180385	3rd rhombotin gene not on 11
NA	NA	NA	11	CAPRIN1,M11S1,GPIAP1,GRIP137	601178	NA
NA	NA	NA	11	NAT10,ALP,KIAA1709	609221	NA
Acatalasemia	None	614097	11	CAT	115500	cen-CAT-WT1-AN2-pter
NA	NA	NA	11	ELF5,ESE2	605169	NA
NA	NA	NA	11	EHF,ESE3	605439	NA
NA	NA	NA	11	APIP,CGI29,MMRP19	612491	NA
Lacticacidemia due to PDX1 deficiency	Autosomal recessive	245349	11	PDX1	608769	NA
Blood group, Indian system	None	609027	11	CD44,MDU2,MDU3,MIC4,IN	107269	NA
NA	NA	NA	11	SLC1A2,EAAT2	600300	NA
NA	NA	NA	11	FJX1	612206	NA
NA	NA	NA	11	TRIM44	612298	NA
NA	NA	NA	11	COMM9	612299	NA
NA	NA	NA	11	PRR5L,PROTOR2,FLJ14213	611728	NA
Osteoporosis	Autosomal dominant	166710	11	BMND8	611739	between D11S1392 and D11S4102
Supranuclear palsy, progressive, 3	None	610898	11	PSNP3	610898	NA
NA	NA	NA	11	TRAF6	602355	NA
Severe combined immunodeficiency, B cell-negative	Autosomal recessive	601457	11	RAG1	179615	assignment to 14 in error
Omenn syndrome	Autosomal recessive	603554	11	RAG1	179615	assignment to 14 in error
Combined cellular and humoral immune defects with granulomas	Autosomal recessive	233650	11	RAG1	179615	assignment to 14 in error
Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity	None	609889	11	RAG1	179615	assignment to 14 in error
Severe combined immunodeficiency, B cell-negative	Autosomal recessive	601457	11	RAG2	179616	assignment to 14 in error
Omenn syndrome	Autosomal recessive	603554	11	RAG2	179616	assignment to 14 in error
Combined cellular and humoral immune defects with granulomas	Autosomal recessive	233650	11	RAG2	179616	assignment to 14 in error
NA	NA	NA	11	LRRC4C,NGL1,KIAA1580	608817	NA
NA	NA	NA	11	API5,AAC11	609774	NA
Leukemia, chronic lymphocytic, susceptibility to, 1	None	609630	11	CLLS1	609630	NA
Osteogenesis imperfecta, type XVI	Autosomal recessive	616229	11	OI16,C16DELp11.2,DEL16p11.2	616229	NA
Potocki-Shaffer syndrome	None	601224	11	PSS	601224	contiguous gene syndrome caused by deletion of 11p11.2
NA	NA	NA	11	TYRL	191270	NA
NA	NA	NA	11	ALKBH3,PCA1,DEPC1,ABH3	610603	NA
NA	NA	NA	11	ACCS,ACS,PHACS	608405	NA
Exostoses, multiple, type 2	Autosomal dominant	133701	11	EXT2,SSMS	608210	mutation identified in 1 SSMS family
?Seizures, scoliosis, and macrocephaly syndrome	Autosomal recessive	616682	11	EXT2,SSMS	608210	mutation identified in 1 SSMS family
Craniosynostosis 5, susceptibility to	Autosomal dominant	615529	11	ALX4,PFM2,FPP,FND2,CRS5	605420	NA
Parietal foramina 2	Autosomal dominant	609597	11	ALX4,PFM2,FPP,FND2,CRS5	605420	NA
Frontonasal dysplasia 2	Autosomal recessive	613451	11	ALX4,PFM2,FPP,FND2,CRS5	605420	NA
Prostate cancer, susceptibility to	Autosomal dominant	176807	11	CD82,SAR2,KAI1,ST6	600623	NA
NA	NA	NA	11	PRDM11,PFM8	616347	NA
NA	NA	NA	11	SYT13,KIAA1427	607716	NA
NA	NA	NA	11	CHST1,KSGAL6ST	603797	NA
Congenital disorder of glycosylation, type IIc	Autosomal recessive	266265	11	SLC35C1,FUCT1,CDG2C	605881	NA
NA	NA	NA	11	CRY2	603732	NA
Diabetes mellitus, noninsulin-dependent	Autosomal dominant	125853	11	MAPK8IP1,IB1	604641	NA
Peroxisome biogenesis disorder 8B	None	614877	11	PEX16,PBD8A,PBD8B	603360	NA
Peroxisome biogenesis disorder 8A, (Zellweger)	None	614876	11	PEX16,PBD8A,PBD8B	603360	NA
NA	NA	NA	11	GYLTL1B,LARGE2	609709	NA
NA	NA	NA	11	PHF21A,BHC80,KIAA1696	608325	NA
NA	NA	NA	11	CREB3L1,OASIS	616215	NA
NA	NA	NA	11	DGKZ	601441	NA
NA	NA	NA	11	MDK,NEGF2	162096	NA
NA	NA	NA	11	CHRM4	118495	NA
NA	NA	NA	11	AMBRA1,KIAA1736	611359	NA
NA	NA	NA	11	HARBI1	615086	NA
NA	NA	NA	11	ATG13,KIAA0652,PARATARG8	615088	NA
NA	NA	NA	11	ARHGAP1,RHOGAP1,CDC42GAP	602732	NA
?Exudative vitreoretinopathy 6	Autosomal dominant	616468	11	ZNF408,EVR6,RP72	616454	mutation identified in 1 EVR6 family
Retinitis pigmentosa 72	Autosomal recessive	616469	11	ZNF408,EVR6,RP72	616454	mutation identified in 1 EVR6 family
Dysprothrombinemia	Autosomal recessive	613679	11	F2,THPH1,RPRGL2	176930	NA
Stroke, ischemic, susceptibility to	Multifactorial	601367	11	F2,THPH1,RPRGL2	176930	NA
Pregnancy loss, recurrent, susceptibility to, 2	Autosomal dominant	614390	11	F2,THPH1,RPRGL2	176930	NA
Thrombophilia due to thrombin defect	Autosomal dominant	188050	11	F2,THPH1,RPRGL2	176930	NA
Hypoprothrombinemia	Autosomal recessive	613679	11	F2,THPH1,RPRGL2	176930	NA
NA	NA	NA	11	CKAP5,CHTOG,MSPS,KIAA0097	611142	NA
Sclerosteosis 2	Autosomal recessive; Autosomal dominant	614305	11	LRP4,MEGF7,CLSS,SOST2,CMS17	604270	mutation identified in 1 CMS17 family
Cenani-Lenz syndactyly syndrome	Autosomal recessive	212780	11	LRP4,MEGF7,CLSS,SOST2,CMS17	604270	mutation identified in 1 CMS17 family
?Myasthenic syndrome, congenital, 17	Autosomal recessive	616304	11	LRP4,MEGF7,CLSS,SOST2,CMS17	604270	mutation identified in 1 CMS17 family
NA	NA	NA	11	ARFGAP2,ZNF289	606908	NA
NA	NA	NA	11	PACSIN3	606513	NA
Xeroderma pigmentosum, group E, DDB-negative subtype	Autosomal recessive	278740	11	DDB2	600811	NA
?Lysosomal acid phosphatase deficiency	Autosomal recessive	200950	11	ACP2	171650	NA
NA	NA	NA	11	MADD,DENN	603584	NA
Left ventricular noncompaction 10	Autosomal dominant	615396	11	MYBPC3,CMH4,CMD1MM,LVNC10	600958	NA
Cardiomyopathy, hypertrophic, 4	Autosomal dominant	115197	11	MYBPC3,CMH4,CMD1MM,LVNC10	600958	NA
Cardiomyopathy, dilated, 1MM	Autosomal dominant	615396	11	MYBPC3,CMH4,CMD1MM,LVNC10	600958	NA
NA	NA	NA	11	SPI1,SFPI1	165170	NA
Spondylocheirodysplasia, Ehlers-Danlos syndrome-like	Autosomal recessive	612350	11	SLC39A13	608735	NA
NA	NA	NA	11	PSMC3,TBP1	186852	NA
Fetal akinesia deformation sequence	Autosomal recessive	208150	11	RAPSN,CMS1D,CMS11,FADS	601592	NA
Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency	Autosomal recessive	616326	11	RAPSN,CMS1D,CMS11,FADS	601592	NA
NA	NA	NA	11	CELF1,CUGBP1,NAB50,BRUNOL2,CUGBP	601074	NA
Mitochondrial complex I deficiency	Autosomal recessive; Mitochondrial; X-linked dominant	252010	11	NDUFS3	603846	NA
Leigh syndrome due to mitochondrial complex I deficiency	Autosomal recessive; Mitochondrial	256000	11	NDUFS3	603846	NA
NA	NA	NA	11	C1QTNF4,CTRP4	614911	NA
NA	NA	NA	11	MTCH2	613221	NA
NA	NA	NA	11	FNBP4,FBP30,KIAA1014	615265	NA
NA	NA	NA	11	NUP160,KIAA0197	607614	NA
Colon cancer, somatic	None	114500	11	PTPRJ,DEP1	600925	NA
NA	NA	NA	11	FOLH1,FOLH,PSM,PSMA	600934	?pseudogene on 11q14
NA	NA	NA	11	OR4C46	614273	NA
NA	NA	NA	11	FNL2	135610	NA
Polyunsaturated fatty acids plasma level QTL1	None	612795	11	PURAQTL1	612795	associated with rs174537
Spinocerebellar ataxia 20	Autosomal dominant	608687	11	SCA20,DUP11q12,C11DUPq12	608687	contiguous gene duplication syndrome
NA	NA	NA	11	OR5I1,OLF1	608496	NA
NA	NA	NA	11	OR5F1	608492	NA
NA	NA	NA	11	LRRC55	615213	NA
NA	NA	NA	11	APLNR,AGTRL1,APJ	600052	NA
NA	NA	NA	11	TNKS1BP1,TAB182,KIAA1741	607104	NA
NA	NA	NA	11	SSRP1,FACT	604328	NA
NA	NA	NA	11	P2RX3,P2X3	600843	NA
NA	NA	NA	11	PRG3,MBPH	606814	NA
NA	NA	NA	11	PRG2,MBP	605601	NA
NA	NA	NA	11	RTN4RL2,NGRH1,NGR2	610462	NA
NA	NA	NA	11	SLC43A1,LAT3,POV1	603733	NA
NA	NA	NA	11	TIMM10,TIM10A,TIM10	602251	NA
NA	NA	NA	11	SMTNL1,CHASM	613664	NA
NA	NA	NA	11	UBE2L6,UBCH8	603890	NA
Complement component 4, partial deficiency of	Autosomal dominant	120790	11	C1NH,HAE1,HAE2,SERPING1	606860	NA
Angioedema, hereditary, types I and II	Autosomal dominant	106100	11	C1NH,HAE1,HAE2,SERPING1	606860	NA
NA	NA	NA	11	MIR130A,MIRN130A	610175	NA
NA	NA	NA	11	YPEL4	609725	NA
Pontocerebellar hypoplasia, type 10	Autosomal recessive	615803	11	CLP1,HEAB,PCH10	608757	NA
NA	NA	NA	11	ZDHHC5,DHHC5,ZNF375,KIAA1748	614586	NA
NA	NA	NA	11	MED19	612385	NA
NA	NA	NA	11	TMX2	616715	NA
NA	NA	NA	11	SELH	607914	NA
NA	NA	NA	11	CTNND1,CTNND	601045	NA
NA	NA	NA	11	LPXN	605390	NA
NA	NA	NA	11	CNTF	118945	NA
NA	NA	NA	11	GLYAT,ACGNAT,CAT	607424	NA
NA	NA	NA	11	GLYATL2	614762	NA
